DATE,CRACK
6/2/1986,3.084
6/3/1986,3.156
6/4/1986,2.726
6/5/1986,3.17
6/6/1986,3.44
6/9/1986,3.056
6/10/1986,2.95
6/11/1986,2.818
6/12/1986,2.858
6/13/1986,2.886
6/16/1986,2.268
6/17/1986,2.058
6/18/1986,2.172
6/19/1986,2.314
6/20/1986,0.89
6/23/1986,1.448
6/24/1986,1.518
6/25/1986,2.52
6/26/1986,2.652
6/27/1986,2.538
6/30/1986,2.908
7/1/1986,3.108
7/2/1986,3.038
7/3/1986,2.958
7/7/1986,2.89
7/8/1986,2.922
7/9/1986,2.65
7/10/1986,2.73
7/11/1986,2.478
7/14/1986,2
7/15/1986,1.926
7/16/1986,1.936
7/17/1986,1.938
7/18/1986,1.69
7/21/1986,1.42
7/22/1986,2.686
7/23/1986,2.736
7/24/1986,2.784
7/25/1986,2.484
7/28/1986,2.266
7/29/1986,2.146
7/30/1986,2.55
7/31/1986,2.252
8/1/1986,2.048
8/4/1986,1.708
8/5/1986,2.786
8/6/1986,2.462
8/7/1986,2.082
8/8/1986,1.97
8/11/1986,1.88
8/12/1986,1.888
8/13/1986,1.982
8/14/1986,2
8/15/1986,1.81
8/18/1986,2.102
8/19/1986,2.072
8/20/1986,2.368
8/21/1986,2.41
8/22/1986,2.16
8/25/1986,2.076
8/26/1986,1.482
8/27/1986,1.516
8/28/1986,1.768
8/29/1986,1.962
9/2/1986,2.092
9/3/1986,2.072
9/4/1986,2.216
9/5/1986,2.892
9/8/1986,2.136
9/9/1986,1.758
9/10/1986,1.48
9/11/1986,1.582
9/12/1986,1.53
9/15/1986,1.776
9/16/1986,1.95
9/17/1986,2.14
9/18/1986,1.872
9/19/1986,2.078
9/22/1986,2.356
9/23/1986,2.248
9/24/1986,1.998
9/25/1986,1.974
9/26/1986,2.034
9/29/1986,1.996
9/30/1986,2.226
10/1/1986,2.158
10/2/1986,2.302
10/3/1986,2.024
10/6/1986,1.97
10/7/1986,1.578
10/8/1986,1.66
10/9/1986,1.834
