DATE,SALES
12/1/1970,0.272
1/1/1971,0.304
2/1/1971,0.307
3/1/1971,0.309
4/1/1971,0.322
5/1/1971,0.320
6/1/1971,0.336
7/1/1971,0.346
8/1/1971,0.320
9/1/1971,0.367
10/1/1971,0.374
11/1/1971,0.384
12/1/1971,0.373
1/1/1972,0.411
2/1/1972,0.412
3/1/1972,0.398
4/1/1972,0.422
5/1/1972,0.440
6/1/1972,0.425
7/1/1972,0.453
8/1/1972,0.443
9/1/1972,0.420
10/1/1972,0.440
11/1/1972,0.488
12/1/1972,0.494
1/1/1973,0.502
2/1/1973,0.489
3/1/1973,0.560
4/1/1973,0.522
5/1/1973,0.533
6/1/1973,0.495
7/1/1973,0.474
8/1/1973,0.458
9/1/1973,0.470
10/1/1973,0.452
11/1/1973,0.491
12/1/1973,0.492
1/1/1974,0.424
2/1/1974,0.448
3/1/1974,0.447
4/1/1974,0.470
5/1/1974,0.432
6/1/1974,0.444
7/1/1974,0.353
8/1/1974,0.411
9/1/1974,0.475
10/1/1974,0.390
11/1/1974,0.379
12/1/1974,0.415
1/1/1975,0.334
2/1/1975,0.321
3/1/1975,0.300
4/1/1975,0.282
5/1/1975,0.281
6/1/1975,0.280
7/1/1975,0.309
8/1/1975,0.307
9/1/1975,0.310
10/1/1975,0.316
11/1/1975,0.288
12/1/1975,0.252
1/1/1976,0.302
2/1/1976,0.296
3/1/1976,0.293
4/1/1976,0.308
5/1/1976,0.317
6/1/1976,0.324
7/1/1976,0.344
8/1/1976,0.359
9/1/1976,0.401
10/1/1976,0.286
11/1/1976,0.326
12/1/1976,0.330
1/1/1977,0.377
2/1/1977,0.374
3/1/1977,0.388
4/1/1977,0.382
5/1/1977,0.379
6/1/1977,0.381
7/1/1977,0.335
8/1/1977,0.371
9/1/1977,0.376
10/1/1977,0.389
11/1/1977,0.403
12/1/1977,0.386
1/1/1978,0.370
2/1/1978,0.394
3/1/1978,0.452
4/1/1978,0.441
5/1/1978,0.468
6/1/1978,0.480
7/1/1978,0.442
8/1/1978,0.369
9/1/1978,0.446
10/1/1978,0.454
11/1/1978,0.469
12/1/1978,0.499
1/1/1979,0.435
2/1/1979,0.465
3/1/1979,0.436
4/1/1979,0.438
5/1/1979,0.408
6/1/1979,0.381
7/1/1979,0.400
8/1/1979,0.345
9/1/1979,0.339
10/1/1979,0.379
11/1/1979,0.358
12/1/1979,0.298
1/1/1980,0.324
2/1/1980,0.309
3/1/1980,0.280
4/1/1980,0.246
5/1/1980,0.230
6/1/1980,0.268
7/1/1980,0.283
8/1/1980,0.294
9/1/1980,0.290
10/1/1980,0.266
11/1/1980,0.243
12/1/1980,0.221
1/1/1981,0.246
2/1/1981,0.235
3/1/1981,0.242
4/1/1981,0.278
5/1/1981,0.218
6/1/1981,0.210
7/1/1981,0.222
8/1/1981,0.224
9/1/1981,0.217
10/1/1981,0.209
11/1/1981,0.200
12/1/1981,0.206
1/1/1982,0.210
2/1/1982,0.199
3/1/1982,0.194
4/1/1982,0.206
5/1/1982,0.203
6/1/1982,0.193
7/1/1982,0.174
8/1/1982,0.168
9/1/1982,0.171
10/1/1982,0.159
11/1/1982,0.164
12/1/1982,0.176
1/1/1983,0.177
2/1/1983,0.167
3/1/1983,0.191
4/1/1983,0.166
5/1/1983,0.163
6/1/1983,0.175
7/1/1983,0.184
8/1/1983,0.198
9/1/1983,0.193
10/1/1983,0.208
11/1/1983,0.226
12/1/1983,0.225
1/1/1984,0.212
2/1/1984,0.251
3/1/1984,0.243
4/1/1984,0.263
5/1/1984,0.287
6/1/1984,0.279
7/1/1984,0.303
8/1/1984,0.273
9/1/1984,0.297
10/1/1984,0.300
11/1/1984,0.330
12/1/1984,0.296
1/1/1985,0.298
2/1/1985,0.292
3/1/1985,0.309
4/1/1985,0.297
5/1/1985,0.291
6/1/1985,0.293
7/1/1985,0.276
8/1/1985,0.277
9/1/1985,0.295
10/1/1985,0.298
11/1/1985,0.289
12/1/1985,0.324
